DataHasBeenUploaded,The Data has been uploaded,Obubakka buwerezeddwa,,,
Vitnamese,Vietnamese,Oluventinamu,,,
Swahili,Swahili,Oluswayiri,,,
English,English,Oluzungu,,,
Wait,Please Wait,Ojira olinda ko,,,
GoogleAuth,Google Auth Failed,Waliwo obuzibu,,,
TotalCost,Total Cost,Omugatte ogwensasaanya yona ,,,
TotalProfit,Total Profit,Omugatte ogwamagoba gona,,,
SomethingWrong,"Something went wrong, please try again later","Ddamu bupya waliwo ekitagenze bulunji, geezako oluvanyuma ",,,
YourChangesSaved,Your changes have been saved,"Tujikiriza, enkyuka,kyuka jokozze",,,
CurrencyType1,CurrencyType 1,,,,
CurrencyType2,CurrencyType 2,,,,
CurrencyType3,CurrencyType 3,,,,
CurrencyType4,CurrencyType 4,,,,
CurrencyType5,CurrencyType 5,,,,
CurrencyType6,CurrencyType 6,,,,
CurrencyType7,CurrencyType 7,,,,
CurrencyType8,CurrencyType 8,,,,
LanguageType1,English,,,,
LanguageType2,Lugunda,,,,
LanguageType3,Vietnamese,,,,
LanguageType4,Kinyarwanda ,,,,
LegalDisclaimerBodyTranslation,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",,,,
MembershipDurationTranslation,Membership duration,,,,
SubCountyType1,SubCountyType 1,,,,
SubCountyType2,SubCountyType 2,,,,
SubCountyType3,SubCountyType 3,,,,
SubCountyType4,SubCountyType 4,,,,
SubCountyType5,SubCountyType 5,,,,
SubCountyType6,SubCountyType 6,,,,
SubCountyType7,SubCountyType 7,,,,
SubCountyType8,SubCountyType 8,,,,
TotalAnimalCostsTranslation,Total cost for all animals,,,,
Created,Created,,,,
TotalCostAllUnits,Total Cost (all units),,,,
MedicineType5,Disinfectant,,,,
